"","year","yoshino_peak_bloom_date","bloom_date","formatted_date","emoji"
"1",1921,79,1921-03-21,"Mar. 21","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"2",1922,97,1922-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"3",1923,99,1923-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"4",1924,104,1924-04-14,"Apr. 14","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"5",1925,86,1925-03-28,"Mar. 28","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"6",1926,101,1926-04-12,"Apr. 12","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"7",1927,79,1927-03-21,"Mar. 21","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"8",1928,99,1928-04-09,"Apr. 09","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"9",1929,90,1929-04-01,"Apr. 01","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"10",1930,91,1930-04-02,"Apr. 02","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"11",1931,101,1931-04-12,"Apr. 12","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"12",1932,106,1932-04-16,"Apr. 16","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"13",1933,99,1933-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"14",1934,105,1934-04-16,"Apr. 16","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"15",1935,91,1935-04-02,"Apr. 02","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"16",1936,98,1936-04-08,"Apr. 08","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"17",1937,104,1937-04-15,"Apr. 15","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"18",1938,84,1938-03-26,"Mar. 26","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"19",1939,89,1939-03-31,"Mar. 31","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"20",1940,104,1940-04-14,"Apr. 14","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"21",1941,102,1941-04-13,"Apr. 13","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"22",1942,95,1942-04-06,"Apr. 06","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"23",1943,94,1943-04-05,"Apr. 05","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"24",1944,100,1944-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"25",1945,79,1945-03-21,"Mar. 21","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"26",1946,82,1946-03-24,"Mar. 24","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"27",1947,102,1947-04-13,"Apr. 13","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"28",1948,88,1948-03-29,"Mar. 29","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"29",1949,88,1949-03-30,"Mar. 30","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"30",1950,99,1950-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"31",1951,96,1951-04-07,"Apr. 07","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"32",1952,100,1952-04-10,"Apr. 10","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"33",1953,86,1953-03-28,"Mar. 28","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
"34",1954,96,1954-04-07,"Apr. 07","https://abs.twimg.com/emoji/v2/72x72/1f338.png"
